"Zplots Generated Data"
"Freq(MHz)","Rs","Xs"
10.000000,69.772275,-456.650727
10.775193,66.544784,-450.454444
11.550386,63.414864,-443.234462
12.325579,58.425407,-433.627354
13.100772,55.407258,-420.287727
13.875965,51.641224,-405.564574
14.651158,49.771041,-390.464936
15.426351,48.123723,-375.825587
16.201544,47.861496,-360.475760
16.976737,46.501575,-345.774245
17.751930,45.019132,-331.154879
18.527123,43.971599,-318.067110
19.302316,42.804352,-305.892985
20.077509,41.902998,-294.845197
20.852702,40.408024,-284.055781
21.627895,38.122992,-273.526137
22.403088,36.334885,-263.559832
23.178281,35.151109,-253.857260
23.953474,33.829287,-244.314476
24.728667,33.202948,-235.026509
25.503860,32.258865,-225.880985
26.279053,32.354160,-217.900140
27.054246,31.298947,-209.947908
27.829439,30.832605,-202.646853
28.604632,30.651638,-195.475541
29.379825,30.857855,-188.719756
30.155018,30.598496,-182.089886
30.930211,30.340918,-175.540365
31.705404,30.575112,-169.496115
32.480597,30.969806,-162.933947
33.255790,31.358716,-157.117075
34.030983,31.998086,-151.343728
34.806176,32.917507,-145.248263
35.581369,34.320520,-139.521119
36.356562,36.215369,-134.030043
37.131755,37.846627,-128.648604
37.906948,40.081994,-123.852450
38.682141,42.314378,-118.687558
39.457334,44.772608,-113.938388
40.232527,46.970764,-108.861991
41.007720,49.785567,-104.245310
41.782913,52.896166,-99.195256
42.558106,57.552794,-94.578527
43.333299,63.150979,-89.783031
44.108492,69.867694,-86.331303
44.883685,77.867740,-83.812507
45.658878,86.371135,-85.010264
46.434071,94.619240,-89.915422
47.209264,98.198253,-99.696965
47.984457,96.557614,-108.915992
48.759650,90.527810,-115.607240
49.534843,84.216140,-118.431215
50.310036,77.507966,-117.920540
51.085229,72.550590,-114.963671
51.860422,68.731761,-110.092676
52.635615,66.468031,-104.443582
53.410808,66.535100,-97.964523
54.186001,68.780660,-91.087059
54.961194,73.086498,-85.510855
55.736387,79.064691,-81.126568
56.511580,85.238505,-79.019937
57.286773,92.846754,-78.811790
58.061966,99.870578,-80.244394
58.837159,107.115545,-84.750205
59.612352,113.205963,-90.930649
60.387545,115.745945,-99.089811
61.162738,117.121989,-106.731677
61.937931,115.817641,-114.533661
62.713124,114.624937,-123.813396
