"Zplots Generated Data"
"Freq(MHz)","Rs","Xs"
10.000000,74.660634,-391.872726
10.775193,72.443461,-387.448352
11.550386,68.296070,-379.503560
12.325579,63.832163,-369.497712
13.100772,60.005075,-356.783663
13.875965,56.847760,-343.079034
14.651158,54.374878,-328.574423
15.426351,52.902320,-313.709680
16.201544,52.443753,-300.070431
16.976737,51.531557,-288.299565
17.751930,51.123870,-276.086887
18.527123,50.413274,-264.850030
19.302316,42.116319,-255.377136
20.077509,42.614193,-246.292371
20.852702,42.901382,-236.967512
21.627895,41.641564,-228.078986
22.403088,40.605912,-219.450195
23.178281,39.507612,-210.561401
23.953474,38.739739,-202.312364
24.728667,38.087012,-194.445068
25.503860,37.627474,-186.321504
26.279053,37.757487,-179.150144
27.054246,37.116916,-171.874874
27.829439,36.842035,-164.975784
28.604632,36.897639,-158.610827
29.379825,37.432312,-152.333199
30.155018,37.927854,-146.125559
30.930211,38.361982,-140.117914
31.705404,38.760022,-134.360569
32.480597,39.359688,-128.840241
33.255790,40.006275,-123.368096
34.030983,40.493494,-118.015901
34.806176,41.303568,-112.450264
35.581369,42.282714,-107.061854
36.356562,43.926237,-101.800823
37.131755,45.593324,-96.450490
37.906948,47.419512,-91.000049
38.682141,49.463574,-85.962500
39.457334,51.723235,-80.888568
40.232527,54.148985,-75.532301
41.007720,57.093231,-70.016733
41.782913,60.614923,-64.150691
42.558106,65.642845,-58.166129
43.333299,71.931298,-52.871215
44.108492,79.085598,-48.267958
44.883685,88.077112,-45.297957
45.658878,97.704789,-45.137945
46.434071,108.229452,-48.245894
47.209264,116.632720,-56.137247
47.984457,119.674060,-65.879043
48.759650,118.093787,-75.503002
49.534843,113.982615,-81.646248
50.310036,108.150939,-83.598730
51.085229,103.097360,-82.733035
51.860422,99.347309,-78.847088
52.635615,97.230765,-74.048449
53.410808,97.982108,-67.667340
54.186001,100.492262,-61.274342
54.961194,105.457871,-55.154587
55.736387,113.039166,-50.327830
56.511580,123.166399,-47.865430
57.286773,134.885413,-48.739565
58.061966,146.748948,-52.642262
58.837159,157.917471,-61.406177
59.612352,167.267037,-73.277315
60.387545,172.735984,-87.367933
61.162738,173.336026,-103.101952
61.937931,170.864055,-117.884531
62.713124,165.082477,-131.964181
63.488317,157.508849,-143.278312
64.263510,147.655276,-152.267092
65.038703,137.538163,-158.811094
65.813896,127.061308,-163.174796
66.589089,116.845961,-165.552308
67.364282,107.364405,-165.980781
68.139475,98.967149,-165.072760
68.914668,90.912361,-163.100596
69.689861,84.326688,-159.974987
70.465054,78.775963,-156.785978
71.240247,74.868405,-152.797779
72.015440,71.759309,-148.442366
72.790633,70.049157,-144.380836
73.565826,68.786042,-140.827186
74.341019,68.863274,-138.608399
75.116212,68.687703,-137.866119
75.891405,68.671380,-137.433039
76.666598,67.400049,-137.575610
77.441791,66.098904,-138.304735
78.216984,63.565585,-139.589082
78.992177,60.949652,-140.020957
79.767370,57.819006,-139.840329
80.542563,54.282853,-139.522936
81.317756,51.378374,-138.481586
82.092949,48.042337,-137.551885
82.868142,44.983312,-135.828929
83.643335,42.452605,-134.584038
84.418528,39.746924,-132.543190
85.193721,37.062775,-130.566760
85.968914,34.556468,-128.338857
86.744107,32.469417,-126.147587
87.519300,30.456569,-123.760284
88.294493,28.379419,-121.593734
89.069686,26.649912,-118.933767
89.844879,25.278091,-116.575311
90.620072,24.054686,-113.911102
91.395265,23.033071,-111.186884
92.170458,21.950198,-108.543937
92.945651,21.168504,-105.982963
93.720844,20.689160,-103.542539
94.496037,20.261946,-101.130897
95.271230,19.765763,-98.587785
96.046423,19.678835,-96.429639
96.821616,19.490263,-94.279893
97.596809,19.397538,-92.123304
98.372002,19.257523,-89.513424
99.147195,19.324595,-87.099996
99.922388,19.580694,-84.502235
100.697581,19.726993,-82.218159
101.472774,20.107299,-79.674574
102.247967,20.303737,-77.401679
103.023160,20.725263,-74.900660
103.798353,21.214497,-72.488948
104.573546,22.059002,-69.515416
105.348739,22.963246,-66.606667
106.123932,24.629381,-63.145597
106.899125,26.699075,-59.895062
107.674318,30.076293,-56.435668
108.449511,33.893468,-53.952585
109.224704,39.788465,-52.674562
109.999897,45.211245,-53.351525
110.775090,50.794365,-56.737188
111.550283,54.358936,-61.247094
112.325476,56.043954,-66.736351
113.100669,55.668299,-71.769718
113.875862,53.754833,-76.250911
114.651055,51.352502,-79.237130
115.426248,48.594894,-81.221228
116.201441,45.799948,-82.106941
116.976634,43.025038,-82.673423
117.751827,40.462693,-82.197905
118.527020,38.509338,-81.383994
119.302213,36.978973,-80.003615
120.077406,35.709823,-78.393471
120.852599,34.911433,-76.806679
121.627792,34.823673,-75.146286
122.402985,35.227551,-73.803072
123.178178,35.711712,-73.181982
123.953371,36.071620,-72.973782
124.728564,35.983419,-73.146471
125.503757,35.873431,-73.223870
126.278950,35.269849,-73.498110
127.054143,34.496907,-73.518584
127.829336,33.917682,-73.268009
128.604529,33.178502,-72.589225
129.379722,32.858250,-71.927713
130.154915,32.828896,-71.262297
130.930108,33.031745,-70.881559
131.705301,33.166828,-70.631511
132.480494,33.240037,-70.842659
133.255687,33.155606,-71.016175
134.030880,32.710640,-71.428153
134.806073,32.331901,-71.646392
135.581266,31.735450,-71.841115
136.356459,30.922631,-72.062224
137.131652,30.033403,-72.302645
137.906845,29.315188,-72.423200
138.682038,28.293112,-72.458093
139.457231,27.108122,-72.412358
140.232424,26.022907,-72.106773
141.007617,24.893071,-71.835606
141.782810,23.795578,-71.214005
142.558003,22.799573,-70.676366
143.333196,21.870188,-69.953533
144.108389,20.856718,-69.184829
144.883582,20.005614,-68.341880
145.658775,19.093700,-67.395548
146.433968,18.396115,-66.245052
147.209161,17.844666,-65.118848
147.984354,17.169867,-63.983632
148.759547,16.505172,-62.876454
149.534740,15.942672,-61.691339
150.309933,15.534252,-60.492854
151.085126,15.120575,-59.265027
151.860319,14.753305,-57.968402
152.635512,14.487710,-56.565584
153.410705,14.359212,-55.206840
154.185898,14.447917,-53.876581
154.961091,14.599866,-52.729249
155.736284,14.762012,-51.466694
156.511477,14.992355,-50.274878
157.286670,15.403163,-49.120795
158.061863,15.895499,-48.075846
158.837056,16.326437,-47.256311
159.612249,16.730692,-46.497180
160.387442,17.272224,-45.792803
161.162635,17.758261,-45.104726
161.937828,18.336911,-44.453201
162.713021,18.968007,-43.975655
163.488214,19.615412,-43.689246
164.263407,20.267058,-43.435598
165.038600,20.899934,-43.472143
165.813793,21.399137,-43.600391
166.588986,21.829666,-43.828441
167.364179,22.327386,-44.126954
168.139372,22.742292,-44.478654
168.914565,22.938791,-44.965156
169.689758,22.898745,-45.253444
170.464951,22.834880,-45.705865
171.240144,22.601573,-46.073960
172.015337,22.359795,-46.381761
172.790530,22.085783,-46.509217
173.565723,21.626230,-46.618762
174.340916,21.281702,-46.669323
175.116109,20.892731,-46.748392
175.891302,20.498361,-46.714515
176.666495,20.090443,-46.635533
177.441688,19.752068,-46.553862
178.216881,19.363753,-46.501049
178.992074,18.994356,-46.372086
179.767267,18.542474,-46.206257
180.542460,18.181981,-46.060820
181.317653,17.662612,-45.982092
182.092846,17.178647,-45.804176
182.868039,16.637250,-45.419648
183.643232,16.199744,-45.197818
184.418425,15.716733,-44.846513
185.193618,15.387722,-44.488374
185.968811,14.930492,-44.025069
186.744004,14.550509,-43.640561
187.519197,14.182683,-43.189260
188.294390,13.875971,-42.819936
189.069583,13.550552,-42.351081
189.844776,13.258653,-41.937451
190.619969,12.975599,-41.447327
191.395162,12.746919,-40.930209
192.170355,12.395979,-40.456095
192.945548,12.121765,-40.065138
193.720741,11.828172,-39.495994
194.495934,11.676163,-39.028385
195.271127,11.536020,-38.514674
196.046320,11.229862,-38.079768
196.821513,11.071369,-37.491384
197.596706,10.908293,-37.020961
198.371899,10.778800,-36.471489
199.147092,10.633992,-36.026470
199.922285,10.569476,-35.497639
200.697478,10.424188,-35.054048
201.472671,10.375765,-34.579428
202.247864,10.262720,-34.109682
203.023057,10.283955,-33.684038
203.798250,10.228505,-33.206259
204.573443,10.247226,-32.801632
205.348636,10.179671,-32.415118
206.123829,10.096600,-31.984550
206.899022,10.039863,-31.560908
207.674215,9.988113,-31.162362
208.449408,10.076297,-30.731587
209.224601,10.030157,-30.400995
210.000000,10.030157,-30.400995
