"Zplots Generated Data"
"Freq(MHz)","Rs","Xs"
10.000000,75.740354,-415.201976
10.775193,71.824496,-411.271898
11.550386,70.063175,-403.224360
12.325579,65.976604,-392.743861
13.100772,62.675168,-378.891925
13.875965,60.902350,-365.246962
14.651158,58.734157,-352.170818
15.426351,56.761720,-335.995062
16.201544,56.071828,-321.834876
16.976737,55.113969,-307.848458
17.751930,54.754739,-295.360747
18.527123,54.228962,-283.676012
19.302316,53.783186,-273.314034
20.077509,53.226658,-263.911463
20.852702,51.703970,-254.696238
21.627895,48.983046,-245.541857
22.403088,46.459845,-236.288799
23.178281,44.230923,-227.011788
23.953474,43.117569,-218.358354
24.728667,41.588362,-210.044668
25.503860,40.389729,-202.259471
26.279053,40.217302,-194.603329
27.054246,39.538573,-187.639151
27.829439,38.722752,-180.336876
28.604632,38.250221,-173.539109
29.379825,37.744155,-167.583638
30.155018,37.589507,-161.210416
30.930211,37.553551,-154.962030
31.705404,37.994112,-149.036428
32.480597,38.203262,-143.289580
33.255790,38.620412,-137.728240
34.030983,39.365070,-131.788908
34.806176,40.053866,-126.183898
35.581369,41.252081,-120.405303
36.356562,42.701539,-114.942518
37.131755,44.678345,-109.732333
37.906948,46.541992,-104.597946
38.682141,48.694125,-99.364113
39.457334,50.717216,-94.488146
40.232527,53.621956,-89.038653
41.007720,56.314181,-83.502694
41.782913,60.515019,-77.916218
42.558106,65.200996,-72.181298
43.333299,71.777650,-67.400622
44.108492,79.295046,-63.296982
44.883685,88.757088,-62.388597
45.658878,99.088430,-64.088865
46.434071,107.324155,-71.226400
47.209264,112.059103,-81.098598
47.984457,110.702848,-90.732208
48.759650,105.991173,-97.608013
49.534843,99.584539,-101.095602
50.310036,93.857779,-101.254080
51.085229,88.825144,-98.234303
51.860422,85.142062,-93.675268
52.635615,83.420758,-88.204008
53.410808,83.637774,-81.655754
54.186001,86.324100,-75.658779
54.961194,91.386273,-69.240064
55.736387,97.112665,-64.411719
56.511580,105.787407,-61.167551
57.286773,115.521444,-60.783733
58.061966,127.342656,-63.819464
58.837159,137.569219,-70.424362
59.612352,146.134790,-80.939606
60.387545,151.675031,-94.541750
61.162738,152.941877,-109.636381
61.937931,150.299360,-123.243538
62.713124,143.988232,-135.442473
63.488317,135.000913,-145.396202
64.263510,125.455659,-152.328048
65.038703,115.106629,-157.043352
65.813896,105.367796,-158.846530
66.589089,96.043672,-159.387807
67.364282,87.518076,-158.638018
68.139475,80.117633,-156.471311
68.914668,73.476781,-153.434651
69.689861,68.200562,-149.378913
70.465054,64.362230,-145.451504
71.240247,60.993167,-141.013117
72.015440,59.850039,-137.049738
72.790633,59.397784,-133.252155
73.565826,59.561045,-130.835865
74.341019,59.553302,-128.530421
75.116212,60.083034,-127.804219
75.891405,60.741890,-127.342570
76.666598,60.039256,-127.770501
77.441791,59.415522,-128.242142
78.216984,57.446910,-129.442352
78.992177,55.354127,-129.998167
79.767370,52.634885,-130.359427
80.542563,50.141824,-130.100040
81.317756,47.261783,-129.187510
82.092949,44.889374,-128.196536
82.868142,42.414563,-127.192412
83.643335,40.094774,-125.940257
84.418528,37.646147,-124.457979
85.193721,35.261581,-123.156446
85.968914,33.115022,-121.475435
86.744107,31.204132,-119.703078
87.519300,29.424187,-117.817277
88.294493,27.671732,-115.648828
89.069686,25.835176,-113.096115
89.844879,24.610214,-110.884272
90.620072,23.469525,-108.669043
91.395265,22.416756,-106.430630
92.170458,21.363331,-104.080684
92.945651,20.629145,-101.899326
93.720844,20.095508,-99.652217
94.496037,19.502955,-97.261897
95.271230,18.930542,-95.021745
96.046423,18.553516,-92.732629
96.821616,18.515704,-90.579589
97.596809,18.284351,-88.290576
98.372002,18.160218,-85.998930
99.147195,18.139651,-83.519087
99.922388,18.358089,-81.114190
100.697581,18.516291,-78.795172
101.472774,18.883274,-76.548024
102.247967,19.280488,-74.260339
103.023160,19.789786,-71.857728
103.798353,20.398360,-69.289806
104.573546,21.359645,-66.507393
105.348739,22.571857,-63.540945
106.123932,23.874789,-60.692613
106.899125,25.912828,-57.832059
107.674318,28.542260,-55.226504
108.449511,32.126348,-53.113062
109.224704,36.319789,-52.056872
109.999897,40.989643,-52.233486
110.775090,45.210918,-54.104463
111.550283,48.561054,-57.700459
112.325476,50.340825,-61.954409
113.100669,50.777991,-66.008670
113.875862,49.731148,-69.580717
114.651055,47.968948,-72.130181
115.426248,45.972754,-74.369225
116.201441,43.784930,-75.525342
116.976634,41.561766,-75.967806
117.751827,39.523469,-75.863112
118.527020,37.819508,-75.041606
119.302213,36.531002,-73.851715
120.077406,35.528570,-72.628465
120.852599,34.951667,-71.121919
121.627792,34.908469,-69.789765
122.402985,35.314472,-68.630533
123.178178,35.934300,-68.012030
123.953371,36.484249,-68.009844
124.728564,36.803198,-68.361681
125.503757,36.802440,-68.512236
126.278950,36.540813,-68.787395
127.054143,36.113036,-69.141085
127.829336,35.579196,-69.215878
