Filename-->,
Mode/Unit-->,
Int.time[ms]-->,"14,7886381149292"
NrOfAverages-->,34
Smoothing-->,0
"Wavelength [nm]",
"144,840393066406","299,9454483646654"
"145,14670117603774","251,9168047067696"
"145,4530044943332","292,68114980252693"
"145,75930301941747","242,85741310460878"
"146,0655967494157","295,53398401205965"
"146,37188568245304","212,21069149875188"
"146,6781698166546","304,1516473879166"
"146,98444915014542","243,26967275898488"
"147,2907236810507","278,7696213907023"
"147,59699340749555","211,5928027068013"
"147,90325832760507","266,5635849329206"
"148,2095184395044","229,6813347283093"
"148,5157737413186","288,56348642669906"
"148,8220242311729","232,82846909342823"
"149,12826990719233","313,4751236183975"
"149,43451076750205","194,76917720617922"
"149,74074681022714","272,5929054434102"
"150,04697803349276","206,97505230714432"
"150,353204435424","294,82827026796923"
"150,65942601414602","232,06370640381067"
"150,9656427677839","269,2691246291782"
"151,27185469446277","202,79890564122417"
"151,57806179230778","283,8578506414969"
"151,884264059444","242,73994069793002"
"152,1904614939966","303,7694781638841"
"152,49665409409064","235,6226695340635"
"152,8028418578513","288,38722614623515"
"153,10902478340364","224,53431699940307"
"153,41520286887283","301,2993310914224"
"153,72137611238398","233,38728114052032"
"154,0275445120622","309,15371239284303"
"154,33370806603264","213,63455917446908"
"154,63986677242036","301,80703925419795"
"154,94602062935053","216,5470381005676"
"155,25216963494825","307,6061619852349"
"155,55831378733862","256,13662347341705"
"155,86445308464678","321,43066074733764"
"156,17058752499787","243,9599897174666"
"156,47671710651701","318,2245813786937"
"156,78284182732926","248,96030215756394"
"157,0889616855598","307,5191909540618"
"157,39507667933373","261,7537707510193"
"157,70118680677618","289,28415125884095"
"158,00729206601224","227,7251567050768"
"158,31339245516705","290,60794355689137"
"158,61948797236576","260,87284705471876"
"158,92557861573343","320,3138029471432"
"159,2316643833952","256,9317866157475"
"159,53774527347622","306,51983819344883"
"159,84382128410158","300,6379874512069"
"160,1498924133964","316,7262904301239"
"160,45595865948582","250,40279425912462"
"160,76202002049493","320,5499497725637"
"161,0680764945489","257,8440934072476"
"161,3741280797728","328,9610811418424"
"161,68017477429174","234,81411296952712"
"161,9862165762309","337,1092628125712"
"162,29225348371537","264,4327329996708"
"162,59828549487023","324,5210637804294"
"162,90431260782066","267,8738272829044"
"163,21033482069174","322,0801701376059"
"163,51635213160864","292,1093504425749"
"163,8223645386964","346,3742914093721"
"164,12837204008022","275,46212844760515"
"164,43437463388517","356,13951218644905"
"164,74037231823638","255,13922633374858"
"165,046365091259","321,8449539791089"
"165,35235295107807","238,28586937390241"
"165,6583358958188","334,3445200647455"
"165,96431392360628","249,3150750629996"
"166,27028703256562","344,87474888992193"
"166,5762552208219","289,9043383286234"
"166,88221848650034","325,49310725194977"
"167,18817682772598","253,4039249629613"
"167,49413024262395","342,198946089775"
"167,80007872931938","291,8751344574678"
"168,1060222859374","342,3168572418784"
"168,41196091060314","283,37551155742887"
"168,71789460144169","309,9056310006317"
"169,02382335657816","271,0523556246431"
"169,3297471741377","343,6997589183158"
"169,63566605224543","287,69964651140634"
"169,94157998902645","344,58227019178054"
"170,2474889826059","253,40603952341638"
"170,55339303110887","340,90750261255465"
"170,85929213266053","273,0249496381903"
"171,16518628538594","362,8488005574089"
"171,47107548741027","285,87823528480413"
"171,7769597368586","353,9667709304521"
"172,08283903185605","247,72990494519007"
"172,38871337052777","343,7300300404383"
"172,6945827509989","246,75855404611428"
"173,00044717139448","368,5236545559192"
"173,30630662983972","253,90555183076225"
"173,61216112445967","356,05348331099464"
"173,9180106533795","280,1725831846058"
"174,2238552147243","331,1147114817664"
"174,52969480661918","305,49797213090227"
"174,8355294271893","372,02794048005586"
"175,14135907455974","277,9988363200204"
"175,44718374685561","355,0287895705724"
"175,7530034422021","279,2629203471144"
"176,05881815872428","364,6155339737102"
"176,36462789454725","284,4382674772027"
"176,67043264779616","361,64276047567654"
"176,97623241659613","259,99440173072384"
"177,28202719907227","362,6111441027984"
"177,58781699334972","301,7285729974462"
"177,89360179755354","328,0808657238104"
"178,19938160980894","256,6104726862773"
"178,50515642824098","345,46336673037507"
"178,81092625097477","312,58207439052245"
"179,11669107613548","324,96453671739795"
"179,42245090184818","285,847521788184"
"179,72820572623803","351,6722465710997"
"180,03395554743014","289,583965951375"
"180,33970036354958","345,29082672201076"
"180,64544017272155","276,82036841739165"
"180,95117497307112","357,73259664624464"
"181,25690476272342","297,8501651386958"
"181,56262953980357","371,4389485645774"
"181,86834930243668","287,1727983238458"
"182,17406404874788","319,46619440080025"
"182,47977377686232","273,7593209381004"
"182,78547848490504","368,3761491296876"
"183,09117817100125","291,4638036584983"
"183,396872833276","367,43279645626575"
"183,70256246985446","290,7253736585332"
"184,00824707886173","349,5776150168695"
"184,31392665842293","264,3702762244332"
"184,61960120666316","347,72231573536527"
"184,92527072170756","295,7506348687013"
"185,23093520168123","376,4844489732163"
"185,53659464470934","289,836458272044"
"185,84224904891698","390,68821979063813"
"186,14789841242924","278,1286287582927"
"186,45354273337125","390,42236265202195"
"186,75918200986817","299,18631553772155"
"187,0648162400451","329,36166750323656"
"187,37044542202716","310,419822037566"
"187,67606955393944","358,24330793793996"
"187,9816886339071","294,7723202397672"
"188,28730266005527","369,53661759188486"
"188,59291163050904","316,2416677783032"
"188,8985155433935","352,7122596401675"
"189,20411439683383","286,4756873586552"
"189,5097081889551","360,7706734304873"
"189,81529691788248","322,2111833237065"
"190,12088058174103","349,829098705877"
"190,42645917865593","313,74008624169727"
"190,73203270675228","383,79872303161966"
"191,03760116415518","324,03371135694994"
