Filename-->,
Mode/Unit-->,
Int.time[ms]-->,"8,949110984802246"
NrOfAverages-->,56
Smoothing-->,0
"Wavelength [nm]",
"144,840393066406","298,4180524877336"
"145,14670117603774","240,8313271295977"
"145,4530044943332","289,4372673646776"
"145,75930301941747","239,1508621252737"
"146,0655967494157","293,00833937972413"
"146,37188568245304","206,24127189835133"
"146,6781698166546","302,81196519834884"
"146,98444915014542","237,11679766779423"
"147,2907236810507","272,9737692973091"
"147,59699340749555","211,04403754994905"
"147,90325832760507","261,2946841859555"
"148,2095184395044","226,70574092689668"
"148,5157737413186","280,1157844033122"
"148,8220242311729","229,54527844647578"
"149,12826990719233","311,25821649881175"
"149,43451076750205","193,4901458251087"
"149,74074681022714","261,0979514337474"
"150,04697803349276","206,02583593741423"
"150,353204435424","293,04461569497994"
"150,65942601414602","226,17008908892217"
"150,9656427677839","275,43639914002233"
"151,27185469446277","189,34834425000975"
"151,57806179230778","277,50946343863245"
"151,884264059444","239,81215858480397"
"152,1904614939966","301,88400616023785"
"152,49665409409064","239,33126871077212"
"152,8028418578513","280,56291400068403"
"153,10902478340364","223,90230648039272"
"153,41520286887283","297,65333384595715"
"153,72137611238398","228,88452588637227"
"154,0275445120622","303,72956283356564"
"154,33370806603264","212,19232941937065"
"154,63986677242036","298,009209804629"
"154,94602062935053","219,1498922337043"
"155,25216963494825","297,88303625516426"
"155,55831378733862","253,2793924886929"
"155,86445308464678","314,01126742295753"
"156,17058752499787","238,8681343105951"
"156,47671710651701","310,15346785673967"
"156,78284182732926","240,4763186396961"
"157,0889616855598","302,1193933395067"
"157,39507667933373","253,2777265537726"
"157,70118680677618","281,90595569500795"
"158,00729206601224","217,58395704985566"
"158,31339245516705","283,37111770188005"
"158,61948797236576","249,83606212199635"
"158,92557861573343","309,746041154615"
"159,2316643833952","248,03287746796485"
"159,53774527347622","302,06797936065755"
"159,84382128410158","294,7660819285346"
"160,1498924133964","305,96273613334597"
"160,45595865948582","243,49856120919378"
"160,76202002049493","316,92745494988185"
"161,0680764945489","252,42754157033187"
"161,3741280797728","323,85391524154"
"161,68017477429174","226,9970745501438"
"161,9862165762309","330,6612294990765"
"162,29225348371537","258,57174637420735"
"162,59828549487023","312,5363503772961"
"162,90431260782066","255,66075813064447"
"163,21033482069174","314,8051502719186"
"163,51635213160864","286,000807305924"
"163,8223645386964","344,32301949961743"
"164,12837204008022","263,946691984969"
"164,43437463388517","341,57473581536374"
"164,74037231823638","246,21664011836953"
"165,046365091259","313,0911244189829"
"165,35235295107807","225,71525417626805"
"165,6583358958188","331,94682090981564"
"165,96431392360628","240,69671011968217"
"166,27028703256562","332,0566872968934"
