"Zplots Generated Data"
"Freq(MHz)","Rs","Xs"
10.000000,52.469303,-392.728287
10.775193,49.255114,-387.054662
11.550386,47.053165,-377.740173
12.325579,45.901565,-367.579778
13.100772,44.340142,-354.276004
13.875965,43.430296,-340.191587
14.651158,42.284937,-325.592951
15.426351,41.861691,-310.452579
16.201544,43.315353,-296.523606
16.976737,41.470854,-282.770494
17.751930,42.507689,-269.712108
18.527123,43.551434,-257.753202
19.302316,46.237708,-247.803973
20.077509,47.496883,-239.571850
20.852702,47.541216,-231.600236
21.627895,46.447864,-224.175312
22.403088,44.954447,-216.555409
23.178281,42.620093,-209.629501
23.953474,40.349645,-201.755718
24.728667,37.892507,-193.477840
25.503860,36.079157,-185.162414
26.279053,34.800896,-176.896705
27.054246,33.830188,-168.285580
27.829439,33.217113,-159.627757
28.604632,33.496671,-151.376565
29.379825,33.856220,-142.802424
30.155018,34.982835,-133.962590
30.930211,36.609200,-125.021809
31.705404,39.421049,-115.857292
32.480597,43.764938,-105.674016
33.255790,50.821731,-95.876070
34.030983,62.179862,-88.674701
34.806176,73.091985,-88.959581
35.581369,78.799393,-93.416677
36.356562,79.923088,-96.960945
37.131755,79.694862,-98.350656
37.906948,78.695272,-98.026642
38.682141,78.300151,-96.573193
39.457334,78.071435,-94.277544
40.232527,78.540553,-91.578456
41.007720,79.098371,-88.881130
41.782913,81.037847,-86.474841
42.558106,81.940788,-84.279850
43.333299,83.022904,-82.369497
44.108492,82.990002,-79.117980
44.883685,84.341532,-75.265303
45.658878,86.424195,-69.958930
46.434071,90.335689,-66.645069
47.209264,95.366452,-62.228838
47.984457,100.150571,-61.139190
48.759650,105.614468,-59.968633
49.534843,110.252408,-59.638506
50.310036,116.407821,-58.578824
51.085229,122.666595,-58.413131
51.860422,131.197484,-59.788111
52.635615,139.900936,-64.503118
53.410808,147.660242,-72.704258
54.186001,152.560242,-83.429663
54.961194,154.397060,-95.735457
55.736387,152.065062,-106.119761
56.511580,147.516280,-115.497840
57.286773,141.364042,-121.674207
58.061966,136.367987,-126.356071
58.837159,132.071307,-129.584996
59.612352,128.108510,-133.465531
60.387545,122.652435,-136.506230
61.162738,116.881749,-138.998175
61.937931,112.358020,-139.588953
62.713124,108.594828,-139.895820
63.488317,105.151219,-139.528812
64.263510,102.888274,-138.840876
65.038703,100.526444,-138.220588
65.813896,99.388105,-137.630597
66.589089,97.720395,-138.223072
67.364282,96.763994,-139.410905
68.139475,94.115558,-140.124495
68.914668,91.302955,-141.877848
69.689861,88.724978,-142.960097
70.465054,85.099478,-144.873458
71.240247,82.148240,-145.607067
72.015440,78.548831,-146.439054
72.790633,75.783516,-146.415523
73.565826,71.270694,-147.015038
74.341019,67.865140,-147.040273
75.116212,63.521358,-146.540925
75.891405,60.170355,-145.790013
76.666598,55.767405,-144.208413
77.441791,52.554965,-142.965031
78.216984,48.654979,-140.716480
78.992177,45.888633,-138.737524
79.767370,42.910024,-136.522488
80.542563,40.151822,-134.437993
81.317756,37.629665,-131.930502
82.092949,35.528088,-129.616275
82.868142,33.500501,-127.260603
83.643335,31.822529,-124.655613
84.418528,30.213301,-121.934890
85.193721,28.924000,-119.236949
85.968914,27.737125,-116.387985
86.744107,26.619397,-114.030013
87.519300,25.478281,-111.519931
88.294493,24.532458,-109.250821
89.069686,23.609682,-106.675303
89.844879,23.015528,-104.619491
90.620072,22.474506,-102.353292
91.395265,22.135202,-100.260948
92.170458,21.513039,-98.050636
92.945651,21.223904,-95.979489
93.720844,21.025629,-93.938487
94.496037,21.000305,-91.954416
95.271230,20.991397,-89.982163
96.046423,20.944682,-88.187414
96.821616,20.867924,-86.350339
97.596809,20.853198,-84.632577
98.372002,20.970446,-82.617308
99.147195,20.784113,-80.845920
99.922388,20.892392,-78.755146
100.697581,20.990360,-77.119412
101.472774,21.344092,-75.014453
102.247967,21.691657,-73.203770
103.023160,22.224600,-71.156874
103.798353,23.030914,-69.191135
104.573546,24.084359,-67.112293
105.348739,25.505817,-65.377215
106.123932,27.074489,-64.181237
106.899125,28.399545,-63.645601
107.674318,29.472987,-63.658121
108.449511,29.958381,-63.556828
109.224704,30.323750,-63.091981
109.999897,30.371506,-62.199327
110.775090,30.428611,-60.761208
111.550283,30.653239,-59.078482
112.325476,31.492955,-57.202841
113.100669,32.549103,-55.162515
113.875862,34.578128,-53.148169
114.651055,37.004320,-51.385086
115.426248,40.085112,-50.408437
116.201441,43.532205,-50.573341
116.976634,46.664315,-52.102987
117.751827,48.904672,-54.201589
118.527020,50.574958,-56.891521
119.302213,51.289923,-59.473134
120.077406,51.462559,-61.874981
120.852599,51.230268,-63.621672
121.627792,51.157371,-64.962836
122.402985,51.166390,-66.049117
123.178178,51.388271,-67.432942
123.953371,51.462388,-68.944190
124.728564,51.368280,-70.701699
125.503757,51.193472,-72.381902
126.278950,50.385171,-74.452061
127.054143,49.333043,-76.403869
127.829336,47.675324,-78.202144
128.604529,45.898614,-79.643771
129.379722,43.988324,-80.860824
130.154915,41.964771,-81.715993
130.930108,39.824986,-82.013982
131.705301,37.737115,-81.760708
132.480494,35.824332,-81.218603
133.255687,34.352240,-80.526020
134.030880,33.250348,-79.608061
134.806073,32.423279,-78.879635
135.581266,31.543476,-78.400482
136.356459,30.723734,-78.139085
137.131652,29.621322,-78.096928
137.906845,28.387304,-77.999784
138.682038,27.042728,-77.747553
139.457231,25.523881,-77.071682
140.232424,24.228963,-76.371201
141.007617,22.833975,-75.659902
141.782810,21.530027,-74.519490
142.558003,20.453221,-73.271585
143.333196,19.514912,-71.944089
144.108389,18.637118,-70.539602
144.883582,17.792184,-69.007929
145.658775,17.104411,-67.506762
146.433968,16.435661,-65.926862
147.209161,15.968064,-64.243324
147.984354,15.671760,-62.473948
148.759547,15.410335,-60.738320
149.534740,15.420985,-58.957272
150.309933,15.545060,-57.069629
151.085126,15.838871,-55.265483
151.860319,16.307892,-53.593722
152.635512,17.074265,-51.837897
153.410705,18.015062,-50.306728
154.185898,19.040408,-49.110160
154.961091,20.370371,-48.237662
155.736284,21.838418,-47.694614
156.511477,23.236858,-47.612676
157.286670,24.504305,-47.850908
158.061863,25.557752,-48.444990
158.837056,26.445004,-49.229729
159.612249,26.824558,-50.053388
160.387442,27.197788,-50.883719
161.162635,27.279922,-51.536739
161.937828,27.234960,-52.144035
162.713021,27.080315,-52.693575
163.488214,26.891493,-53.385707
164.263407,26.421100,-53.754887
165.038600,25.882503,-54.319413
165.813793,25.265561,-54.588785
166.588986,24.563108,-54.941988
167.364179,23.967046,-54.973040
168.139372,23.275640,-55.135315
168.914565,22.654238,-55.107375
169.689758,21.935360,-55.044022
170.464951,21.441647,-54.863641
171.240144,20.734792,-54.626042
172.015337,20.232957,-54.253702
172.790530,19.605105,-53.968225
173.565723,19.115566,-53.546995
174.340916,18.457576,-53.177139
175.116109,17.877951,-52.784006
175.891302,17.377673,-52.372856
176.666495,16.909560,-51.929408
177.441688,16.461895,-51.565910
178.216881,15.958303,-51.068932
178.992074,15.566029,-50.604926
179.767267,15.183601,-50.152762
180.542460,14.666745,-49.569297
181.317653,14.262475,-49.091231
182.092846,13.893994,-48.594993
182.868039,13.489574,-47.990354
183.643232,13.133942,-47.450336
184.418425,12.812650,-46.950228
185.193618,12.530803,-46.417723
185.968811,12.243925,-45.765617
186.744004,11.954741,-45.111275
187.519197,11.754148,-44.424231
188.294390,11.559343,-43.837269
189.069583,11.327559,-43.238221
189.844776,11.186231,-42.641433
190.619969,10.999481,-42.118423
191.395162,10.759686,-41.618351
192.170355,10.619913,-41.140178
192.945548,10.381367,-40.594998
193.720741,10.177963,-40.098669
194.495934,10.119281,-39.625540
195.271127,9.990556,-39.177949
196.046320,9.928466,-38.695358
196.821513,9.809278,-38.173037
197.596706,9.780233,-37.662945
198.371899,9.742043,-37.189308
199.147092,9.687916,-36.715796
199.922285,9.628450,-36.236608
200.697478,9.535273,-35.737102
201.472671,9.511959,-35.333907
202.247864,9.457493,-34.902594
203.023057,9.455176,-34.485389
203.798250,9.476632,-33.996778
204.573443,9.476934,-33.577213
205.348636,9.444100,-33.116050
206.123829,9.412798,-32.643288
206.899022,9.385396,-32.205431
207.674215,9.358949,-31.817594
208.449408,9.418274,-31.423714
209.224601,9.469014,-31.058487
210.000000,9.469014,-31.058487
