"Zplots Generated Data"
"Freq(MHz)","Rs","Xs"
10.000000,47.140815,-399.960543
10.775193,44.109620,-396.258829
11.550386,40.482275,-387.684493
12.325579,37.931715,-375.835949
13.100772,37.288381,-363.510929
13.875965,36.298539,-349.933248
14.651158,34.688840,-335.294125
15.426351,33.832074,-319.147182
16.201544,35.428677,-305.159481
16.976737,36.378548,-292.058301
17.751930,37.113028,-278.624034
18.527123,37.655361,-266.197725
19.302316,38.913154,-255.652554
20.077509,38.855003,-245.600643
20.852702,37.951018,-235.609428
21.627895,36.652584,-225.540647
22.403088,36.226882,-215.738830
23.178281,35.633435,-206.011456
23.953474,35.130750,-196.484323
24.728667,35.566135,-187.111455
25.503860,36.577422,-177.822316
26.279053,38.555703,-168.869851
27.054246,40.535892,-159.898889
27.829439,44.338978,-151.402019
28.604632,50.064767,-144.202310
29.379825,56.264206,-140.444828
30.155018,60.443032,-138.933075
30.930211,61.990635,-138.622605
31.705404,61.701449,-137.512077
32.480597,60.902301,-135.172950
33.255790,59.475237,-132.065240
34.030983,58.597140,-128.033508
34.806176,58.031392,-123.009086
35.581369,58.458080,-117.794317
36.356562,59.525131,-112.596691
37.131755,61.261363,-107.192192
37.906948,63.732324,-101.885075
38.682141,67.361636,-97.184353
39.457334,71.338009,-93.071078
40.232527,76.197720,-89.982746
41.007720,80.999426,-88.571421
41.782913,84.639915,-89.465669
42.558106,85.914139,-91.058380
43.333299,85.362388,-91.318474
44.108492,83.849933,-88.665859
44.883685,84.450272,-84.897495
45.658878,86.590448,-79.671102
46.434071,91.081781,-76.061420
47.209264,97.228077,-73.480646
47.984457,102.465359,-74.442297
48.759650,106.607402,-76.929264
49.534843,109.385231,-78.251992
50.310036,113.625206,-79.772072
51.085229,117.201296,-82.413470
51.860422,119.510835,-86.085723
52.635615,120.064618,-90.196112
53.410808,119.306951,-92.937646
54.186001,118.990895,-94.216341
54.961194,119.200252,-94.022827
55.736387,120.412724,-93.650892
56.511580,123.013568,-94.004431
57.286773,126.599640,-95.141578
58.061966,130.439137,-97.726999
58.837159,135.175222,-100.922868
59.612352,139.547298,-107.234242
60.387545,141.517602,-115.773380
61.162738,141.485830,-124.836620
61.937931,139.546246,-133.014860
62.713124,135.283931,-142.256551
63.488317,129.136239,-149.587811
64.263510,122.233726,-155.486827
65.038703,114.124074,-159.717437
65.813896,106.308868,-162.396668
66.589089,98.992624,-163.662419
67.364282,92.193415,-164.251353
68.139475,85.191549,-164.094415
68.914668,78.333569,-162.807004
69.689861,72.072853,-160.847580
70.465054,66.646428,-158.631164
71.240247,62.056349,-155.330101
72.015440,58.545095,-152.336193
72.790633,55.607262,-149.343130
73.565826,53.752690,-146.608125
74.341019,52.146470,-144.313224
75.116212,50.473359,-142.455546
75.891405,48.791191,-140.671188
76.666598,47.058044,-139.236195
77.441791,45.350840,-137.839750
78.216984,43.170146,-136.542013
78.992177,41.363082,-135.034624
79.767370,39.300134,-133.698723
80.542563,37.391719,-132.098394
81.317756,35.524936,-130.208017
82.092949,33.686763,-128.568502
82.868142,32.021557,-126.864526
83.643335,30.642287,-124.948438
84.418528,29.277378,-122.919870
85.193721,27.764036,-121.041737
85.968914,26.258483,-118.843841
86.744107,24.775839,-116.914792
87.519300,23.556317,-114.447765
88.294493,22.482243,-112.196279
89.069686,21.825881,-109.857665
89.844879,21.294727,-107.767027
90.620072,20.864261,-105.712139
91.395265,20.260494,-103.703616
92.170458,19.566591,-101.758503
92.945651,19.040843,-99.989758
93.720844,18.347884,-97.941675
94.496037,17.810759,-95.826894
95.271230,17.392084,-93.662850
96.046423,17.042905,-91.660151
96.821616,16.983737,-89.504962
97.596809,16.915060,-87.577683
98.372002,16.956458,-85.266674
99.147195,17.023567,-83.161948
99.922388,17.337099,-81.014032
100.697581,17.609473,-79.022718
101.472774,17.922205,-76.916765
102.247967,18.342684,-74.882692
103.023160,18.983550,-72.829180
103.798353,19.631957,-70.755757
104.573546,20.715348,-68.503213
105.348739,21.937940,-66.608852
106.123932,23.462293,-65.066336
106.899125,24.857942,-64.127865
107.674318,26.028680,-63.623505
108.449511,26.564108,-63.297567
109.224704,26.872974,-62.758924
109.999897,27.003222,-61.959741
110.775090,27.129115,-60.748708
111.550283,27.367452,-59.162807
112.325476,27.827065,-57.288084
113.100669,28.613217,-55.300589
113.875862,29.850145,-53.085309
114.651055,31.576430,-50.772166
115.426248,34.085913,-48.957589
116.201441,37.332190,-47.754554
116.976634,40.848232,-47.849311
117.751827,43.928257,-49.167530
118.527020,46.301455,-51.234017
119.302213,47.925158,-53.286321
120.077406,48.852290,-55.500950
120.852599,49.110608,-56.942923
121.627792,49.448668,-58.287878
122.402985,49.958544,-59.219149
123.178178,50.640932,-60.502067
123.953371,51.355216,-61.983353
