"Zplots Generated Data"
"Freq(MHz)","Rs","Xs"
10.000000,78.774264,-473.783027
10.775193,72.947453,-469.931581
11.550386,67.371316,-458.744636
12.325579,61.543162,-445.236412
13.100772,56.541770,-429.716736
13.875965,52.190755,-414.160860
14.651158,50.230920,-394.725969
15.426351,48.150837,-377.541549
16.201544,47.825408,-361.710645
16.976737,46.177380,-348.312642
17.751930,45.046830,-333.318811
18.527123,43.523274,-319.856381
19.302316,42.798006,-307.192920
20.077509,40.297269,-295.781250
20.852702,37.546010,-283.609667
21.627895,34.855334,-271.860803
22.403088,33.208459,-259.739644
23.178281,30.050494,-250.348042
23.953474,29.402671,-239.452445
24.728667,29.170150,-229.281872
25.503860,29.511340,-219.006341
26.279053,30.041761,-210.374696
27.054246,30.929179,-200.835547
27.829439,32.526908,-191.963985
28.604632,34.735942,-183.459356
29.379825,37.544450,-175.426556
30.155018,40.794036,-168.365214
30.930211,44.673805,-162.896879
31.705404,48.334992,-158.308245
32.480597,51.637248,-155.084295
33.255790,53.865296,-152.476200
34.030983,54.908682,-149.542967
34.806176,56.566966,-147.027923
35.581369,57.264679,-143.746850
36.356562,58.267406,-141.095393
37.131755,58.992158,-137.648540
37.906948,60.165645,-134.998030
38.682141,62.003498,-132.097976
39.457334,63.991534,-130.113593
40.232527,66.216410,-127.704141
41.007720,67.697820,-127.666745
41.782913,68.582364,-128.276328
42.558106,67.376442,-128.886282
43.333299,65.150718,-127.942448
44.108492,62.426123,-124.782840
44.883685,61.364675,-119.439150
45.658878,62.260570,-113.686947
46.434071,65.791169,-107.835119
47.209264,71.157632,-103.590614
47.984457,77.807434,-102.730491
48.759650,81.701630,-104.027499
49.534843,85.511260,-104.716087
50.310036,89.769311,-106.415318
51.085229,94.108978,-110.542610
51.860422,94.261597,-117.177446
52.635615,90.871224,-122.746912
53.410808,85.710208,-125.825073
54.186001,81.733904,-126.231286
54.961194,78.043411,-125.084170
55.736387,75.778547,-122.706542
56.511580,73.645627,-120.720415
57.286773,73.756399,-118.128077
58.061966,73.322946,-116.498936
58.837159,75.197191,-115.210109
59.612352,77.004146,-113.766412
60.387545,79.574744,-113.620150
61.162738,82.291171,-114.487181
61.937931,84.610604,-116.538379
62.713124,85.540489,-120.246275
63.488317,85.623422,-124.869639
64.263510,83.552513,-129.067810
65.038703,80.399063,-133.689826
65.813896,76.636597,-136.292883
66.589089,72.567688,-139.021300
67.364282,67.866370,-140.138604
68.139475,63.070598,-140.964727
68.914668,58.073568,-140.221329
69.689861,53.637834,-138.835528
70.465054,49.835699,-136.970446
71.240247,46.827323,-134.540669
72.015440,44.370837,-131.675460
72.790633,42.539048,-129.329911
73.565826,40.889114,-126.643946
74.341019,39.806863,-124.582730
75.116212,39.093791,-122.451723
75.891405,38.405860,-121.148914
76.666598,37.676774,-119.673590
77.441791,37.148494,-118.488797
78.216984,36.430578,-117.462948
78.992177,35.269877,-116.935714
79.767370,34.238126,-115.754848
80.542563,32.957172,-114.750340
81.317756,31.787532,-113.423031
82.092949,30.361705,-112.280020
82.868142,29.287956,-111.191563
83.643335,28.073744,-109.839575
84.418528,26.901242,-108.505450
85.193721,25.835596,-107.118578
85.968914,24.527276,-105.445160
86.744107,23.420391,-104.082210
87.519300,22.388963,-102.504529
