"Zplots Generated Data"
"Freq(MHz)","Rs","Xs"
10.000000,0.000024,-697.318768
10.775193,0.000004,-689.109791
11.550386,0.000041,-672.899834
12.325579,0.000032,-652.090939
13.100772,0.000033,-626.565016
13.875965,0.000043,-603.420883
14.651158,0.000024,-579.555792
15.426351,0.000042,-554.368255
16.201544,0.000013,-530.281463
16.976737,0.000039,-506.371476
17.751930,0.000005,-482.178037
18.527123,0.000000,-459.971378
19.302316,0.000000,-439.997402
20.077509,0.000000,-420.355333
20.852702,0.000000,-403.304743
21.627895,0.000018,-386.661315
22.403088,0.000011,-371.314514
23.178281,0.000000,-356.452268
23.953474,0.000000,-342.704562
24.728667,0.000000,-330.156736
25.503860,0.000000,-317.642117
26.279053,0.000000,-306.801202
27.054246,0.000000,-296.010083
27.829439,0.000000,-284.988976
28.604632,0.000000,-275.236244
29.379825,0.000000,-267.174561
30.155018,0.000000,-258.718542
30.930211,0.000000,-250.445195
31.705404,0.000000,-242.866562
32.480597,0.000006,-235.635051
33.255790,0.000013,-228.717729
34.030983,0.000021,-222.387901
34.806176,0.074694,-216.571569
35.581369,0.000003,-203.718442
36.356562,0.105117,-195.213069
37.131755,3.202660,-185.307025
37.906948,14.671285,-176.114505
38.682141,27.931158,-183.572857
39.457334,26.863305,-190.743034
40.232527,22.557446,-193.404359
41.007720,18.045965,-193.089556
41.782913,14.436778,-191.052328
42.558106,11.549416,-187.696278
43.333299,9.239528,-184.171960
44.108492,7.391612,-179.210763
44.883685,6.263815,-174.318313
45.658878,5.796224,-168.889142
46.434071,7.394975,-164.043061
47.209264,9.635408,-161.673563
47.984457,9.417554,-160.065883
48.759650,8.228282,-157.562427
49.534843,7.136662,-153.716179
50.310036,7.020376,-149.181571
51.085229,8.681985,-143.696720
51.860422,12.075947,-137.072535
52.635615,20.257380,-131.221006
53.410808,31.921223,-133.987278
54.186001,34.498314,-143.468970
54.961194,31.232768,-149.652155
55.736387,26.341015,-152.570728
56.511580,21.653873,-152.875995
57.286773,18.107897,-152.040882
58.061966,15.433758,-150.653221
58.837159,12.796727,-148.979919
59.612352,10.776164,-147.615582
60.387545,8.620927,-145.408791
61.162738,6.896740,-142.982816
61.937931,5.517383,-140.304568
62.713124,4.413898,-137.777559
63.488317,3.531108,-135.005776
64.263510,2.824879,-132.098573
65.038703,2.259901,-129.215102
65.813896,1.807922,-126.344037
66.589089,1.446334,-123.816966
67.364282,1.157071,-121.217192
68.139475,0.926886,-118.571497
68.914668,0.741507,-115.802468
69.689861,1.076381,-113.196327
70.465054,1.583728,-110.647722
71.240247,2.893467,-108.116024
72.015440,4.885541,-106.513915
72.790633,6.118925,-106.124694
73.565826,6.256645,-106.000292
74.341019,5.935619,-105.544775
75.116212,5.379141,-104.738978
75.891405,4.836970,-103.763106
76.666598,4.516402,-102.398973
77.441791,4.086495,-100.918349
78.216984,3.770667,-99.519654
78.992177,3.580892,-98.086788
79.767370,3.350169,-96.643454
80.542563,3.131262,-95.017980
81.317756,3.038501,-93.186347
82.092949,3.041228,-91.753151
82.868142,3.208923,-90.294714
83.643335,3.450942,-88.770830
84.418528,3.542655,-87.215516
85.193721,3.750264,-85.800767
85.968914,4.049984,-84.139728
86.744107,4.460316,-82.602539
87.519300,4.657501,-80.978496
88.294493,5.267634,-79.616351
89.069686,5.843246,-78.124026
89.844879,6.825033,-77.131169
90.620072,7.568342,-76.021165
91.395265,7.972098,-75.508840
92.170458,8.433366,-74.763098
92.945651,8.413392,-74.155532
93.720844,8.781686,-73.395912
94.496037,8.692126,-72.655080
95.271230,8.816524,-71.824224
96.046423,8.686155,-71.130778
96.821616,8.590923,-70.446240
97.596809,8.220566,-69.483640
98.372002,8.032217,-68.401467
99.147195,7.853393,-67.124972
99.922388,7.939222,-65.743382
100.697581,8.020145,-64.207668
101.472774,8.233848,-62.715916
102.247967,8.511276,-60.992998
103.023160,9.159483,-59.318509
103.798353,10.191300,-57.747352
104.573546,11.464923,-56.872755
105.348739,12.447494,-56.410056
106.123932,13.017283,-56.125162
106.899125,13.565384,-55.879567
107.674318,14.065212,-55.751772
108.449511,14.394121,-55.840343
109.224704,14.439248,-55.980000
109.999897,14.108138,-55.964773
110.775090,13.624648,-55.720335
111.550283,13.153360,-55.231658
112.325476,12.632859,-54.625742
113.100669,12.035225,-53.871389
113.875862,11.530591,-52.834270
114.651055,11.136411,-51.684584
115.426248,10.861716,-50.463774
116.201441,10.552434,-49.104966
116.976634,10.386022,-47.738085
117.751827,10.286555,-46.271320
118.527020,10.279886,-44.749618
119.302213,10.533156,-43.146578
120.077406,10.921562,-41.741305
120.852599,11.392716,-40.465819
121.627792,11.798127,-39.374166
122.402985,12.113873,-38.181529
123.178178,12.416216,-36.829912
123.953371,12.888455,-35.381759
124.728564,13.648438,-34.024824
125.503757,14.601170,-32.894872
126.278950,15.458477,-32.208510
127.054143,16.132836,-31.720804
127.829336,16.551374,-31.370096
128.604529,16.695858,-30.834022
129.379722,16.696779,-30.109167
130.154915,16.673019,-29.195010
130.930108,16.592674,-28.120674
131.705301,16.546487,-26.755572
132.480494,16.575531,-25.194668
133.255687,16.803304,-23.396433
134.030880,17.180241,-21.667519
134.806073,17.655982,-19.752703
135.581266,18.369184,-17.829972
136.356459,19.193574,-15.705263
