"Zplots Generated Data"
"Freq(MHz)","Rs","Xs"
10.000000,74.882813,-402.493100
10.775193,71.290251,-398.191656
11.550386,69.379617,-391.133132
12.325579,66.555647,-380.586602
13.100772,44.402573,-368.251387
13.875965,43.931664,-355.530704
14.651158,42.855679,-342.408551
15.426351,41.612309,-327.851215
16.201544,42.690824,-312.906573
16.976737,42.929892,-299.491837
17.751930,43.085522,-286.778480
18.527123,43.568965,-274.334999
19.302316,44.912837,-262.987149
20.077509,45.303714,-254.324219
20.852702,44.764397,-245.505766
21.627895,43.521569,-236.514474
22.403088,41.802174,-227.337704
23.178281,40.169075,-218.314886
23.953474,39.084334,-209.666103
24.728667,37.944896,-201.615878
25.503860,37.728373,-193.568288
26.279053,37.191982,-186.883094
27.054246,36.515036,-179.303970
27.829439,36.111576,-172.193722
28.604632,36.329727,-165.559042
29.379825,36.703502,-159.178944
30.155018,37.129764,-153.031161
30.930211,37.345596,-146.754282
31.705404,38.080168,-141.022206
32.480597,38.712716,-135.340705
33.255790,39.419978,-129.921307
34.030983,39.974442,-124.259744
34.806176,40.865711,-118.881597
35.581369,41.905042,-113.382595
36.356562,43.517663,-107.812173
37.131755,45.211369,-102.351036
37.906948,47.243041,-97.201495
38.682141,49.291395,-92.077892
39.457334,51.650038,-86.996878
40.232527,54.396263,-81.472719
41.007720,57.953872,-75.797434
41.782913,62.399550,-70.100143
42.558106,67.851715,-64.695155
43.333299,74.820059,-60.406371
44.108492,83.267382,-57.629216
44.883685,93.417508,-58.162001
45.658878,102.208216,-62.491364
46.434071,107.960779,-70.825156
47.209264,109.387997,-79.373285
47.984457,107.268399,-86.126038
48.759650,103.759499,-90.874671
49.534843,98.831202,-92.805610
50.310036,94.877769,-92.480174
51.085229,91.166868,-89.510365
51.860422,88.434696,-85.642276
52.635615,87.301720,-79.947409
53.410808,89.274405,-73.705206
54.186001,92.718371,-67.461270
54.961194,99.077097,-62.879209
55.736387,106.491256,-58.586426
56.511580,116.216636,-58.161992
57.286773,126.326415,-59.891523
58.061966,135.213748,-66.735957
58.837159,142.927307,-76.053492
59.612352,147.977499,-88.123433
60.387545,150.169058,-100.947817
61.162738,146.850643,-113.610125
61.937931,141.646741,-124.480152
62.713124,134.738413,-132.986463
63.488317,127.047171,-139.764371
64.263510,118.679799,-144.094246
65.038703,110.851924,-146.431538
65.813896,103.120339,-147.010697
66.589089,96.137443,-146.803543
67.364282,89.576072,-145.141866
68.139475,84.657363,-142.709360
68.914668,80.094195,-139.071696
69.689861,77.388082,-136.000048
70.465054,75.368674,-132.201179
71.240247,74.351777,-130.019183
72.015440,74.304848,-127.091891
72.790633,74.109720,-126.395999
73.565826,74.806339,-125.382316
74.341019,74.418542,-126.156702
75.116212,74.500791,-126.943886
75.891405,73.005367,-128.569164
76.666598,71.715552,-129.772546
77.441791,68.773434,-131.356768
78.216984,66.399197,-133.231727
78.992177,62.879505,-134.084903
79.767370,59.957969,-134.933842
80.542563,56.344339,-134.496277
81.317756,52.981174,-133.667986
82.092949,49.586083,-132.545376
82.868142,46.329341,-131.451251
83.643335,43.252058,-129.322333
84.418528,40.586295,-127.963625
85.193721,37.708258,-125.553085
85.968914,35.265411,-123.426114
86.744107,33.089347,-121.031559
87.519300,31.292750,-118.813759
88.294493,29.481296,-116.277568
89.069686,28.068459,-113.643339
89.844879,26.735860,-110.853544
90.620072,25.782319,-108.291220
91.395265,24.967636,-105.600162
92.170458,24.267824,-103.178005
92.945651,23.592518,-100.606111
93.720844,23.527234,-98.280338
94.496037,23.172429,-95.715288
95.271230,22.858848,-93.607131
96.046423,22.632681,-91.201424
96.821616,22.629861,-89.129664
97.596809,22.633499,-86.713709
98.372002,22.553311,-84.571586
99.147195,22.804564,-82.012133
99.922388,23.137527,-79.628207
100.697581,23.584988,-77.164627
101.472774,23.923561,-75.100118
102.247967,24.705659,-72.527550
103.023160,25.246323,-70.195035
103.798353,26.275528,-67.572814
104.573546,27.356796,-64.996397
105.348739,29.138403,-61.791682
106.123932,31.078790,-59.147160
106.899125,34.198947,-56.443291
107.674318,37.665747,-54.425633
108.449511,42.585706,-53.635645
109.224704,47.346562,-54.156407
109.999897,52.154985,-56.953455
110.775090,55.255066,-60.871941
111.550283,57.158354,-65.951926
112.325476,57.350061,-70.301777
113.100669,56.021857,-74.686126
113.875862,53.827981,-77.973341
114.651055,51.198309,-80.113719
115.426248,48.524714,-81.409695
116.201441,45.886115,-81.889007
116.976634,43.464070,-81.897424
117.751827,41.516472,-81.291476
118.527020,39.849510,-80.141914
119.302213,38.676631,-78.619288
120.077406,37.828959,-76.942075
120.852599,37.531494,-75.734840
121.627792,37.733479,-74.687859
122.402985,37.928229,-74.120518
123.178178,38.085069,-73.880566
123.953371,37.907999,-74.050956
124.728564,37.654880,-74.124103
125.503757,37.196961,-74.059388
126.278950,36.362249,-74.101032
127.054143,35.670745,-74.151381
127.829336,35.013575,-73.749234
128.604529,34.479283,-73.104178
129.379722,34.224947,-72.443061
130.154915,34.004141,-71.664386
130.930108,34.007456,-71.147752
131.705301,34.039738,-71.053489
132.480494,34.053908,-70.901959
133.255687,33.751705,-71.185150
134.030880,33.581130,-71.352236
134.806073,33.058521,-71.628210
135.581266,32.408331,-71.835484
136.356459,31.702095,-72.071580
137.131652,30.837376,-72.243338
