"Zplots Generated Data"
"Freq(MHz)","Rs","Xs"
10.000000,44.126979,-523.519447
10.775193,42.061037,-517.422526
11.550386,36.608754,-506.382737
12.325579,31.391683,-492.309397
13.100772,30.633570,-474.727090
13.875965,29.365380,-457.523838
14.651158,26.775896,-440.535384
15.426351,25.933620,-422.120438
16.201544,25.959661,-403.347618
16.976737,24.311742,-385.810199
17.751930,23.646577,-368.788513
18.527123,23.246925,-353.226406
19.302316,22.736858,-338.951182
20.077509,20.804083,-325.381460
20.852702,20.020809,-311.375642
21.627895,17.632995,-298.223725
22.403088,16.107231,-285.431447
23.178281,15.564067,-273.304919
23.953474,15.275919,-261.278408
24.728667,14.817139,-249.938733
25.503860,14.925201,-239.174344
26.279053,15.160103,-229.259358
27.054246,15.414349,-219.151712
27.829439,16.068129,-209.523825
28.604632,17.345516,-200.092384
29.379825,19.036311,-191.000899
30.155018,21.895457,-182.120899
30.930211,25.212561,-173.325780
31.705404,30.065959,-165.751681
32.480597,35.822440,-158.545579
33.255790,41.405069,-153.281213
34.030983,48.023321,-150.140113
34.806176,53.958256,-148.517644
35.581369,57.952985,-148.216746
36.356562,60.723769,-149.531789
37.131755,61.622652,-150.075751
37.906948,62.068876,-151.423409
38.682141,61.911838,-151.950084
39.457334,60.906867,-152.371965
40.232527,59.131484,-151.709141
41.007720,56.448291,-150.907647
41.782913,54.070286,-149.311289
42.558106,51.251969,-146.896232
43.333299,48.686547,-143.067468
44.108492,46.357239,-137.819767
44.883685,46.232894,-131.399668
45.658878,47.719394,-125.096722
46.434071,51.761057,-118.964196
47.209264,57.415815,-114.938303
47.984457,63.019049,-113.260383
48.759650,66.575124,-114.062301
49.534843,69.998096,-114.598615
50.310036,74.467878,-116.432638
51.085229,77.485063,-120.509091
51.860422,77.121492,-126.632028
52.635615,74.078316,-130.794968
53.410808,69.479182,-133.504332
54.186001,65.967610,-133.532338
54.961194,61.985852,-133.560933
55.736387,59.920237,-130.949806
56.511580,56.690095,-128.682934
57.286773,56.114209,-125.803514
58.061966,54.819957,-122.640197
58.837159,56.525527,-120.737455
59.612352,57.182426,-119.179921
60.387545,58.236034,-119.711606
61.162738,57.775831,-119.549076
61.937931,57.546854,-120.336518
62.713124,56.064202,-120.329816
63.488317,54.840024,-121.054966
64.263510,53.258969,-120.394297
65.038703,51.680148,-119.976745
65.813896,49.527708,-118.731752
66.589089,47.771159,-117.553583
67.364282,46.121738,-115.428447
68.139475,45.211685,-113.755108
68.914668,44.039578,-111.355904
69.689861,43.789819,-109.502898
70.465054,43.788540,-107.151821
71.240247,44.013676,-105.669977
72.015440,44.916433,-103.424847
72.790633,46.113249,-103.096573
73.565826,47.285684,-101.750617
74.341019,48.204829,-102.278885
75.116212,49.659681,-102.267547
75.891405,50.057927,-103.654345
76.666598,51.066628,-104.467362
77.441791,50.490771,-106.364723
78.216984,50.624606,-107.823694
78.992177,48.588631,-109.563012
79.767370,47.219944,-111.107776
80.542563,44.298141,-111.327865
81.317756,42.451705,-111.317760
82.092949,39.734421,-110.829044
82.868142,38.019016,-110.575178
83.643335,35.908052,-109.498893
84.418528,34.137589,-108.518183
85.193721,32.151760,-106.919981
85.968914,30.482656,-105.857276
86.744107,28.803559,-104.257409
87.519300,27.088795,-102.637288
88.294493,25.746124,-100.583970
89.069686,24.639564,-98.907794
89.844879,23.736608,-96.603605
90.620072,22.667334,-94.705649
91.395265,22.217291,-92.301682
92.170458,17.629386,-90.825340
92.945651,17.245606,-89.114279
93.720844,17.145234,-87.730990
94.496037,16.956420,-86.088603
95.271230,16.547359,-84.549796
96.046423,16.303248,-82.857331
96.821616,15.975434,-81.421368
97.596809,15.782453,-79.582230
98.372002,15.657467,-77.825645
99.147195,15.611573,-75.968915
99.922388,15.687223,-74.296635
100.697581,15.707715,-72.383618
