"Zplots Generated Data"
"Freq(MHz)","Rs","Xs"
10.000000,40.060080,-364.421153
10.775193,38.283040,-360.576432
11.550386,36.302148,-352.478993
12.325579,35.376162,-342.463516
13.100772,34.639776,-330.548102
13.875965,33.183647,-317.421404
14.651158,32.947026,-303.587065
15.426351,32.481565,-289.554981
16.201544,33.611575,-275.974573
16.976737,34.821380,-262.767143
17.751930,35.731315,-250.774719
18.527123,36.984372,-238.622667
19.302316,38.260178,-227.498934
20.077509,38.831023,-218.369726
20.852702,38.810728,-208.882315
21.627895,38.010202,-199.989452
22.403088,37.229489,-190.778309
23.178281,36.905961,-181.395266
23.953474,37.199104,-171.980594
24.728667,37.953060,-162.796691
25.503860,39.620566,-153.306959
26.279053,42.136772,-144.244433
27.054246,45.739146,-134.779955
27.829439,51.289074,-125.829946
28.604632,60.006843,-119.143790
29.379825,69.115190,-118.899875
30.155018,72.644146,-122.246334
30.930211,70.917252,-124.723627
31.705404,67.551042,-124.882719
32.480597,63.597578,-123.477634
33.255790,60.233697,-120.972049
34.030983,57.731243,-117.021987
34.806176,54.410705,-112.939055
35.581369,53.496490,-107.582095
36.356562,53.194926,-101.417386
37.131755,53.851487,-95.656762
37.906948,55.154143,-90.388562
38.682141,57.243501,-85.304438
39.457334,59.862192,-80.574868
40.232527,62.421945,-76.727319
41.007720,65.297202,-73.349026
41.782913,67.949937,-70.613871
42.558106,70.236171,-68.249486
43.333299,71.966941,-65.964100
44.108492,73.409822,-62.937923
44.883685,75.369808,-58.964491
45.658878,79.348308,-54.623556
46.434071,85.236392,-50.375171
47.209264,92.234852,-48.507346
47.984457,98.732884,-49.144609
48.759650,103.842551,-50.838995
49.534843,108.520621,-52.461533
50.310036,113.391276,-54.906992
51.085229,117.761734,-58.168779
51.860422,119.473315,-62.473857
52.635615,119.416265,-64.421496
53.410808,119.104715,-64.331804
54.186001,120.063290,-61.970526
54.961194,124.112888,-58.810484
55.736387,132.408810,-56.004303
56.511580,141.242633,-56.247125
57.286773,150.790067,-59.480465
58.061966,159.486909,-65.160325
58.837159,167.601237,-75.509315
59.612352,172.684832,-87.140147
60.387545,176.129227,-100.439977
61.162738,175.079420,-115.193855
61.937931,170.687958,-128.243667
62.713124,165.582675,-140.412142
63.488317,158.342921,-149.047239
64.263510,148.577175,-156.256760
65.038703,139.500561,-161.772178
65.813896,130.146664,-165.097927
66.589089,121.136235,-167.091039
67.364282,112.943383,-168.476026
68.139475,104.499460,-168.302923
68.914668,96.863092,-166.760691
69.689861,90.134427,-164.791354
70.465054,83.965543,-162.943879
71.240247,78.714660,-159.951111
72.015440,74.179093,-156.874052
72.790633,70.277398,-153.235787
73.565826,68.219372,-149.848149
74.341019,66.729223,-147.030657
75.116212,66.131668,-144.725535
75.891405,65.660160,-144.242447
76.666598,64.711513,-143.984543
77.441791,62.313519,-144.432264
78.216984,60.064134,-144.804865
78.992177,56.609082,-144.509665
79.767370,53.548778,-144.437784
80.542563,50.193186,-143.549436
81.317756,46.851579,-142.543043
82.092949,43.723331,-140.891338
82.868142,40.903579,-139.178772
83.643335,38.265997,-137.004802
84.418528,35.825648,-134.651965
85.193721,33.157821,-132.150401
85.968914,30.831015,-129.832603
86.744107,28.858451,-127.648435
87.519300,27.246938,-125.172918
88.294493,25.500780,-122.755802
89.069686,24.204784,-120.199458
89.844879,23.017111,-117.823065
90.620072,22.020742,-115.359345
91.395265,21.074236,-112.705028
92.170458,20.232338,-110.056160
92.945651,19.535436,-107.733066
93.720844,19.226187,-105.412099
94.496037,18.899692,-102.888497
95.271230,18.557024,-100.646472
96.046423,18.439973,-98.305391
96.821616,18.180486,-96.466503
97.596809,18.087843,-94.346533
98.372002,17.859897,-91.979248
99.147195,17.964214,-89.870785
99.922388,17.882607,-87.775712
100.697581,17.850852,-85.510392
101.472774,18.020348,-83.340582
102.247967,18.217052,-81.228097
103.023160,18.336942,-79.196415
103.798353,18.715039,-76.893142
104.573546,19.294087,-74.655407
105.348739,20.312423,-72.333017
106.123932,21.339607,-70.421070
106.899125,22.718190,-68.870455
107.674318,23.643084,-67.997972
108.449511,24.514866,-67.136177
109.224704,24.840527,-66.526474
109.999897,25.026981,-65.479500
110.775090,24.986017,-64.150718
111.550283,25.038740,-62.624047
112.325476,25.084007,-60.779884
113.100669,25.265300,-58.711590
113.875862,25.832542,-56.341438
114.651055,26.871279,-53.668724
115.426248,28.295827,-50.886615
116.201441,30.644837,-47.812027
116.976634,33.910884,-45.361643
117.751827,38.172670,-43.826071
118.527020,42.797371,-44.121267
119.302213,46.836650,-46.208152
120.077406,49.748477,-48.920844
120.852599,51.394866,-51.527386
121.627792,52.519535,-53.697554
122.402985,53.659771,-55.601267
123.178178,54.880438,-57.408408
123.953371,56.072289,-59.899469
124.728564,56.690402,-62.587343
125.503757,56.688903,-65.412527
126.278950,56.158884,-68.454958
127.054143,54.905323,-71.212808
127.829336,53.347619,-73.453365
128.604529,51.317370,-75.503811
129.379722,49.435904,-77.033573
130.154915,47.530028,-78.088749
130.930108,45.416593,-78.709231
131.705301,43.351026,-78.707256
132.480494,41.617922,-78.506397
133.255687,40.150830,-77.848855
134.030880,38.965848,-77.173922
134.806073,38.173194,-76.651389
135.581266,37.774165,-76.374890
136.356459,37.205441,-76.452948
137.131652,36.502349,-76.994896
137.906845,35.418740,-77.499307
138.682038,33.962672,-78.177320
139.457231,32.476952,-78.608987
140.232424,30.656647,-78.729270
141.007617,28.696953,-78.743723
141.782810,27.072400,-78.170368
142.558003,25.271543,-77.506871
143.333196,23.654260,-76.624609
144.108389,22.044498,-75.504990
144.883582,20.608155,-74.154247
145.658775,19.379929,-72.617418
146.433968,18.329009,-70.868612
147.209161,17.420726,-69.094075
147.984354,16.627217,-67.248393
148.759547,16.061940,-65.359339
149.534740,15.512218,-63.505958
150.309933,15.229918,-61.470522
151.085126,15.144497,-59.542278
151.860319,15.128796,-57.663856
152.635512,15.318189,-55.763720
153.410705,15.609047,-53.874227
154.185898,16.035663,-51.967109
154.961091,16.728577,-50.153368
155.736284,17.678437,-48.410848
156.511477,18.912292,-46.739238
157.286670,20.445683,-45.298173
158.061863,22.490791,-44.276509
158.837056,24.619539,-44.070484
159.612249,26.797256,-44.770538
160.387442,28.696663,-46.108166
161.162635,29.924490,-47.691009
161.937828,30.345810,-49.371366
162.713021,30.389984,-51.027165
163.488214,29.963568,-52.388707
164.263407,29.358408,-53.525753
165.038600,28.558644,-54.519422
165.813793,27.685756,-55.009248
166.588986,26.760066,-55.380559
167.364179,25.868073,-55.373540
168.139372,25.107508,-55.333479
168.914565,24.260057,-55.075175
169.689758,23.659874,-54.854620
170.464951,23.227103,-54.686932
171.240144,22.828450,-54.471034
172.015337,22.382710,-54.189404
172.790530,22.028777,-53.993640
173.565723,21.576619,-53.757143
174.340916,21.109940,-53.642192
175.116109,20.716894,-53.522063
175.891302,20.170235,-53.518974
176.666495,19.661413,-53.304275
177.441688,18.990559,-53.085734
178.216881,18.418698,-52.833735
178.992074,17.791471,-52.528306
179.767267,17.244268,-52.237920
180.542460,16.656242,-51.831621
181.317653,16.105135,-51.522105
182.092846,15.587745,-50.983062
182.868039,15.065605,-50.536169
183.643232,14.532528,-49.956367
184.418425,14.053868,-49.438349
185.193618,13.705955,-48.793139
185.968811,13.341314,-48.242805
186.744004,12.903987,-47.564311
187.519197,12.598057,-46.888370
188.294390,12.304738,-46.245316
189.069583,12.033386,-45.632153
189.844776,11.763703,-44.922764
190.619969,11.566942,-44.300660
191.395162,11.328407,-43.632036
192.170355,11.131545,-43.125977
192.945548,10.882637,-42.500598
193.720741,10.723406,-41.949204
194.495934,10.681273,-41.323277
195.271127,10.654760,-40.810517
196.046320,10.576578,-40.165410
196.821513,10.397146,-39.722723
197.596706,10.284826,-39.059524
198.371899,10.151042,-38.611433
199.147092,10.223754,-38.054676
199.922285,10.153958,-37.601427
200.697478,10.071643,-37.074102
201.472671,9.959596,-36.590833
202.247864,10.000642,-36.127603
203.023057,9.904974,-35.665460
203.798250,9.944817,-35.270112
204.573443,9.871896,-34.814921
205.348636,9.911337,-34.311154
206.123829,9.786023,-33.881873
206.899022,9.843950,-33.488842
207.674215,9.749713,-33.007219
208.449408,9.875806,-32.592774
209.224601,9.800627,-32.093248
210.000000,9.800627,-32.093248
