"Zplots Generated Data"
"Freq(MHz)","Rs","Xs"
10.000000,59.004494,-522.191420
10.775193,52.332238,-517.760580
11.550386,48.619537,-507.148324
12.325579,41.778567,-493.279890
13.100772,38.181669,-475.609511
13.875965,34.211725,-456.604183
14.651158,29.544563,-437.421665
15.426351,27.958907,-417.292797
16.201544,27.309450,-399.392156
16.976737,25.357462,-382.254337
17.751930,23.951904,-364.987709
18.527123,22.923368,-350.670606
19.302316,22.737916,-336.468861
20.077509,20.921754,-323.404828
20.852702,19.487599,-310.168545
21.627895,18.309173,-296.899450
22.403088,17.234813,-283.349175
23.178281,16.293106,-271.154541
23.953474,15.786249,-259.727901
24.728667,15.040934,-248.929245
25.503860,15.333164,-238.473123
26.279053,15.744246,-228.806895
27.054246,16.536955,-218.633015
27.829439,17.183597,-209.222640
28.604632,18.383888,-200.389751
29.379825,20.249126,-191.543773
30.155018,22.915430,-182.891047
30.930211,25.735539,-174.847773
31.705404,30.587153,-166.804091
32.480597,35.450871,-159.771581
33.255790,41.255939,-154.295719
34.030983,47.578065,-150.405642
34.806176,53.568009,-148.781862
35.581369,58.442572,-148.523056
36.356562,60.965841,-149.075689
37.131755,61.663619,-149.869060
37.906948,61.840063,-150.490234
38.682141,61.572205,-150.906321
39.457334,60.802756,-150.972068
40.232527,59.095349,-150.157958
41.007720,57.328420,-149.206538
41.782913,54.946439,-147.877892
42.558106,52.438445,-145.657011
43.333299,49.571013,-142.395132
44.108492,47.226429,-137.506572
44.883685,46.454893,-130.939319
45.658878,47.444276,-124.396573
46.434071,50.981188,-117.844680
47.209264,56.452421,-112.299055
47.984457,63.246747,-109.780671
48.759650,68.028261,-109.409161
49.534843,72.385273,-109.170316
50.310036,77.844747,-109.536660
51.085229,84.196203,-113.664451
51.860422,87.003519,-122.202512
52.635615,84.136662,-130.206118
53.410808,78.789096,-135.212048
54.186001,73.201887,-137.358866
54.961194,67.537715,-138.067529
55.736387,63.483263,-136.197112
56.511580,59.199408,-134.054065
57.286773,56.880306,-130.729553
58.061966,54.922348,-127.547120
58.837159,55.304834,-124.416113
59.612352,54.913908,-121.751995
60.387545,56.474298,-120.287472
61.162738,57.109670,-118.886005
61.937931,58.871000,-118.212518
62.713124,59.593357,-117.582325
63.488317,61.004874,-119.108963
64.263510,61.486812,-119.739051
65.038703,61.151312,-122.252538
65.813896,60.344167,-123.769482
66.589089,58.197803,-126.505949
67.364282,56.013255,-127.950650
68.139475,52.577407,-129.634954
68.914668,48.699631,-130.093678
69.689861,44.649023,-129.791833
70.465054,41.223915,-128.794352
71.240247,37.950196,-127.171410
72.015440,35.063789,-124.512728
72.790633,32.945876,-121.511651
73.565826,31.311577,-118.317845
74.341019,30.266078,-115.102068
75.116212,29.820945,-111.468942
75.891405,30.255324,-108.634192
76.666598,31.186043,-105.744741
77.441791,32.497176,-104.257124
78.216984,34.114459,-102.731974
78.992177,34.567812,-102.856832
79.767370,35.437990,-103.004580
80.542563,35.183740,-103.484734
81.317756,34.587270,-103.565317
82.092949,33.331984,-103.561474
82.868142,32.626694,-103.310818
83.643335,31.215691,-102.964256
84.418528,30.155050,-102.650893
85.193721,28.561186,-101.944002
85.968914,27.179855,-101.240705
86.744107,25.564664,-100.037893
87.519300,24.149718,-98.973822
88.294493,22.859933,-97.503497
89.069686,21.814097,-95.928849
89.844879,20.760470,-94.270096
90.620072,19.871245,-92.734848
91.395265,19.313160,-90.873023
92.170458,18.654459,-89.367557
92.945651,18.126343,-87.604353
93.720844,17.576186,-86.190909
94.496037,17.182220,-84.559896
95.271230,16.968244,-82.969875
96.046423,16.596141,-81.466169
96.821616,16.341168,-79.903460
97.596809,16.186277,-78.240514
98.372002,16.053544,-76.447959
99.147195,16.062165,-74.620832
99.922388,16.060216,-72.914169
100.697581,16.073912,-71.053360
101.472774,16.096656,-69.468663
102.247967,16.322695,-67.636786
103.023160,16.546381,-65.959566
103.798353,16.917350,-64.162417
104.573546,17.312590,-62.409819
105.348739,17.994541,-60.581639
106.123932,18.702729,-58.978797
106.899125,19.621037,-57.657204
107.674318,20.398438,-56.690535
108.449511,21.018862,-55.843164
109.224704,21.271484,-55.156493
109.999897,21.557935,-54.091230
110.775090,21.573732,-52.873578
111.550283,21.830226,-51.403279
112.325476,22.067115,-49.921647
113.100669,22.360629,-48.198095
113.875862,22.793121,-46.507776
114.651055,23.534464,-44.625372
115.426248,24.336993,-42.850336
116.201441,25.553126,-41.012810
116.976634,26.798697,-39.335361
117.751827,28.558171,-37.818128
118.527020,30.321407,-36.521108
119.302213,32.313446,-35.624192
120.077406,33.926863,-34.926118
120.852599,35.629681,-34.482919
121.627792,37.012496,-33.991230
122.402985,38.798883,-33.552792
123.178178,40.633185,-32.851990
123.953371,43.099477,-32.796083
124.728564,45.951538,-32.698144
125.503757,48.804364,-33.419123
126.278950,51.555934,-34.411595
127.054143,54.389891,-36.230784
127.829336,56.894665,-38.228519
128.604529,59.123289,-41.336899
129.379722,60.493824,-44.452133
130.154915,61.429742,-48.350201
130.930108,61.556144,-51.744967
131.705301,60.665105,-54.960581
132.480494,59.613887,-57.337135
133.255687,58.158878,-59.598184
134.030880,57.149000,-60.995235
134.806073,56.248171,-62.152124
135.581266,55.789611,-63.571209
136.356459,55.067662,-65.450770
137.131652,54.229839,-67.847505
137.906845,52.558485,-70.120008
138.682038,50.830036,-72.208622
139.457231,48.337441,-73.992690
140.232424,45.756772,-75.371987
141.007617,42.782358,-76.131197
141.782810,40.176285,-76.279490
142.558003,37.414299,-76.024710
143.333196,35.116323,-75.328000
144.108389,32.822600,-74.459187
144.883582,30.761126,-73.259516
145.658775,28.680390,-71.797509
146.433968,27.031847,-70.065093
147.209161,25.520357,-68.125181
147.984354,24.354398,-66.067944
148.759547,23.295543,-64.023387
149.534740,22.698114,-61.976208
150.309933,22.237631,-59.804613
151.085126,22.031163,-57.740542
151.860319,22.038719,-55.725358
152.635512,22.290820,-53.702111
153.410705,22.567934,-51.683628
154.185898,23.221283,-49.755523
154.961091,24.122604,-48.034939
155.736284,25.625550,-46.399311
156.511477,27.283209,-45.263539
157.286670,29.647582,-44.660008
158.061863,31.579084,-44.825004
158.837056,33.634419,-46.052870
159.612249,34.769608,-47.166286
160.387442,35.711701,-49.270623
161.162635,36.106754,-50.583227
161.937828,35.963948,-52.507465
