"Zplots Generated Data"
"Freq(MHz)","Rs","Xs"
10.000000,58.610714,-390.012784
10.775193,54.928957,-386.762945
11.550386,50.831918,-378.441357
12.325579,47.962226,-367.921258
13.100772,45.252276,-355.421878
13.875965,43.270094,-342.488321
14.651158,40.584345,-329.482143
15.426351,40.681018,-314.220360
16.201544,40.259969,-299.928462
16.976737,40.667234,-286.639282
17.751930,41.056218,-273.117052
18.527123,41.723879,-261.149174
19.302316,43.165695,-250.283187
20.077509,43.638051,-240.307025
20.852702,43.033550,-230.478313
21.627895,41.676330,-220.576587
22.403088,40.750593,-210.650173
23.178281,40.336390,-200.490318
23.953474,40.393921,-190.935593
24.728667,40.872835,-181.299286
25.503860,41.590048,-171.896154
26.279053,43.677721,-162.429532
27.054246,46.383334,-153.330653
27.829439,50.358705,-144.685842
28.604632,56.644924,-137.301249
29.379825,64.170356,-133.891941
30.155018,69.220544,-133.531184
30.930211,71.005992,-134.648749
31.705404,70.232686,-135.296951
32.480597,68.249646,-134.263355
33.255790,66.187580,-132.218295
34.030983,64.164781,-128.667531
34.806176,62.731587,-123.908834
35.581369,61.663215,-119.224855
36.356562,61.774917,-114.126903
37.131755,62.400024,-108.983840
37.906948,63.872104,-103.821224
38.682141,66.096351,-99.009536
39.457334,69.252840,-94.562108
40.232527,73.202983,-91.051829
41.007720,77.160299,-89.406772
41.782913,80.131520,-89.538527
42.558106,81.655249,-89.845284
43.333299,81.185213,-89.108296
44.108492,80.646236,-86.582833
44.883685,80.951491,-82.184121
45.658878,83.727292,-77.082189
46.434071,88.465424,-72.866577
47.209264,94.765057,-71.166905
47.984457,99.419551,-71.448857
48.759650,102.470677,-73.000141
49.534843,105.828884,-74.210357
50.310036,108.311135,-75.618980
51.085229,110.719079,-78.117846
51.860422,110.823244,-81.593418
52.635615,109.091068,-84.057471
53.410808,107.160879,-84.832889
54.186001,105.718714,-83.183700
54.961194,105.568104,-81.031480
55.736387,107.825331,-78.679099
56.511580,110.637634,-77.225043
57.286773,115.145678,-77.115487
58.061966,119.663608,-78.864135
58.837159,123.484012,-82.550113
59.612352,126.991787,-86.870667
60.387545,129.432845,-92.698369
61.162738,129.223079,-98.821598
61.937931,127.889901,-103.890768
62.713124,125.767905,-108.574160
63.488317,123.172556,-113.220525
64.263510,124.384887,-144.669470
65.038703,117.830538,-149.223065
65.813896,111.663826,-152.859039
66.589089,105.597780,-155.439692
67.364282,98.427461,-156.446021
68.139475,91.633520,-157.681137
68.914668,85.822401,-157.514080
69.689861,79.880210,-156.916187
70.465054,74.522551,-155.800275
71.240247,69.715539,-153.989275
72.015440,65.994628,-151.624861
72.790633,62.545255,-149.664148
73.565826,59.354105,-147.659615
74.341019,56.511557,-145.645709
75.116212,54.079593,-143.752215
75.891405,51.433561,-142.278217
76.666598,49.708866,-140.527787
