"Zplots Generated Data"
"Freq(MHz)","Rs","Xs"
10.000000,75.501937,-435.856660
10.775193,71.536907,-431.373906
11.550386,66.619170,-423.310907
12.325579,62.282639,-411.882133
13.100772,58.568640,-396.937552
13.875965,56.466643,-382.023261
14.651158,52.952903,-366.812551
15.426351,50.655530,-350.882214
16.201544,50.684621,-335.720163
16.976737,49.575256,-321.711188
17.751930,47.967399,-308.475948
18.527123,48.009602,-295.427970
19.302316,47.776919,-283.958509
20.077509,46.745594,-273.551664
20.852702,43.944999,-263.118195
21.627895,41.798064,-252.259430
22.403088,40.236447,-241.712631
23.178281,39.238466,-230.691260
23.953474,38.359732,-220.666767
24.728667,38.047375,-210.790330
25.503860,38.144716,-201.037923
26.279053,39.357526,-191.977964
27.054246,40.391938,-183.336666
27.829439,42.237274,-174.820962
28.604632,45.456546,-166.774990
29.379825,49.811964,-160.375516
30.155018,54.146108,-155.870210
30.930211,57.578617,-153.073057
31.705404,59.796208,-150.989702
32.480597,61.010184,-149.330597
33.255790,60.753003,-147.261328
34.030983,60.179698,-144.525234
34.806176,59.733559,-141.234043
35.581369,59.531980,-137.104901
36.356562,60.093440,-133.371919
37.131755,60.392645,-128.890108
37.906948,61.226699,-124.974688
38.682141,62.882420,-120.883058
39.457334,65.507808,-117.251856
40.232527,68.424481,-113.830863
41.007720,72.097237,-112.132739
41.782913,75.212052,-112.454790
42.558106,75.774057,-114.374097
43.333299,74.441230,-114.343239
44.108492,72.417717,-112.447770
44.883685,71.354061,-107.626214
45.658878,71.938656,-102.870277
46.434071,75.621780,-96.915441
47.209264,81.247324,-93.420116
47.984457,87.905948,-93.452358
48.759650,91.978706,-95.832504
49.534843,94.545749,-98.334969
50.310036,97.436966,-101.374629
51.085229,98.964873,-106.035494
51.860422,97.070264,-111.239047
52.635615,93.878168,-114.090651
53.410808,89.872701,-114.663134
54.186001,87.539903,-112.895099
54.961194,86.122585,-110.654982
55.736387,86.893722,-107.669468
56.511580,88.264273,-105.497483
57.286773,91.327069,-104.098025
58.061966,94.230074,-104.023645
58.837159,98.889076,-105.309178
59.612352,102.723598,-107.937711
60.387545,105.932002,-113.768834
61.162738,106.725710,-119.804102
61.937931,106.152123,-126.963289
62.713124,104.021728,-133.562676
63.488317,99.397044,-139.683358
64.263510,94.317626,-144.093390
65.038703,88.272245,-148.053667
65.813896,81.307445,-149.685381
66.589089,74.772822,-150.749528
67.364282,68.303760,-150.375225
68.139475,62.457360,-148.910783
68.914668,56.980850,-146.434943
69.689861,52.807855,-143.318234
70.465054,48.704206,-140.030598
71.240247,45.798219,-136.487293
72.015440,43.611705,-132.480815
72.790633,42.549843,-128.930534
73.565826,41.680123,-125.450594
74.341019,41.802865,-123.066231
75.116212,42.015065,-120.595639
75.891405,42.348040,-119.202443
76.666598,42.679235,-118.034742
77.441791,42.618688,-117.550295
78.216984,42.540660,-117.554453
78.992177,41.275175,-117.455045
79.767370,40.022406,-117.557681
80.542563,38.228869,-117.067100
81.317756,36.826940,-116.020174
82.092949,35.289682,-115.348382
82.868142,34.058661,-114.373294
83.643335,32.162758,-113.226654
84.418528,30.493297,-112.032237
85.193721,28.963412,-110.736641
85.968914,27.506054,-109.167015
86.744107,26.239276,-107.683961
87.519300,24.817247,-105.788645
88.294493,23.606777,-103.976358
89.069686,22.589457,-102.150638
89.844879,21.591683,-100.270322
90.620072,20.647473,-98.439964
91.395265,19.876410,-96.506062
92.170458,19.048414,-94.526747
92.945651,18.479097,-92.643009
93.720844,17.865923,-90.836646
94.496037,17.488718,-88.817398
95.271230,17.021293,-86.688525
96.046423,16.843572,-84.845088
96.821616,16.679178,-82.880237
97.596809,16.659427,-80.907236
98.372002,16.614055,-78.822509
99.147195,16.633051,-76.931149
99.922388,16.823268,-74.913973
100.697581,17.098197,-72.819208
101.472774,17.477511,-70.862712
102.247967,17.897923,-68.936579
103.023160,18.372048,-66.895015
103.798353,18.976153,-64.938052
104.573546,19.738580,-62.946913
105.348739,20.615531,-61.072266
106.123932,21.690834,-59.475092
106.899125,22.880745,-58.248479
107.674318,24.009509,-57.360487
108.449511,24.779220,-56.718359
109.224704,25.194465,-56.127351
109.999897,25.453260,-55.278101
110.775090,25.522324,-54.112014
111.550283,25.751800,-52.725961
112.325476,26.096798,-51.158456
113.100669,26.630296,-49.355501
113.875862,27.439010,-47.383695
114.651055,28.524119,-45.328335
115.426248,30.034179,-43.414059
116.201441,32.013510,-41.644724
116.976634,34.240769,-40.249986
117.751827,37.001569,-39.540331
118.527020,39.583885,-39.404360
119.302213,42.091010,-39.929510
120.077406,44.113374,-40.579826
120.852599,45.845202,-41.601169
121.627792,47.466498,-42.294203
122.402985,49.238849,-42.933062
123.178178,51.128793,-43.692993
123.953371,53.159206,-44.790572
124.728564,55.486802,-46.300629
125.503757,57.545116,-48.521413
126.278950,59.210323,-50.822961
127.054143,60.363441,-53.940553
127.829336,60.890647,-57.327652
128.604529,60.658874,-60.621588
129.379722,60.241423,-63.816692
130.154915,58.958428,-67.158596
130.930108,57.277465,-69.534344
131.705301,55.110820,-71.352759
132.480494,53.053315,-72.631720
133.255687,50.792262,-73.269441
134.030880,49.232057,-73.439839
134.806073,48.073271,-73.686527
135.581266,46.862723,-74.365757
136.356459,45.790330,-75.381865
137.131652,44.458786,-76.511699
137.906845,42.681460,-77.400333
138.682038,40.637431,-78.135772
139.457231,38.461883,-78.612726
140.232424,36.188570,-78.732953
141.007617,34.025316,-78.530529
141.782810,31.856845,-77.893705
142.558003,29.808602,-76.907911
143.333196,28.035257,-75.641709
144.108389,26.279172,-74.373658
144.883582,24.671459,-72.867849
145.658775,23.279136,-71.241221
146.433968,22.017693,-69.283175
147.209161,20.939624,-67.436122
147.984354,20.244372,-65.285855
148.759547,19.589987,-63.252053
149.534740,19.228325,-61.057209
150.309933,19.134214,-58.907635
151.085126,19.121497,-56.784857
151.860319,19.374800,-54.749124
152.635512,19.938935,-52.751880
153.410705,20.704266,-50.905982
154.185898,21.700268,-49.092031
154.961091,23.012650,-47.601744
155.736284,24.572332,-46.407083
156.511477,26.590346,-45.830749
157.286670,28.592165,-45.828727
158.061863,30.484682,-46.655553
158.837056,31.653891,-47.944676
159.612249,32.622745,-49.731678
160.387442,32.705617,-51.069391
161.162635,32.696693,-52.666478
161.937828,32.306717,-53.546414
162.713021,31.628695,-54.878043
163.488214,31.071861,-55.506271
164.263407,30.107328,-56.241523
165.038600,29.503796,-56.750145
165.813793,28.427094,-56.965940
166.588986,27.850351,-57.039110
167.364179,26.900798,-56.914635
168.139372,26.477038,-56.965787
168.914565,25.411802,-56.634301
169.689758,24.925581,-56.731609
170.464951,24.122244,-56.322871
171.240144,23.546081,-56.393387
172.015337,22.855174,-55.901974
172.790530,22.234130,-56.070715
173.565723,21.591414,-55.546112
174.340916,20.708990,-55.441706
175.116109,20.108120,-55.009105
175.891302,19.225267,-54.739027
176.666495,18.785651,-54.197979
177.441688,17.993080,-53.714252
178.216881,17.572228,-53.187310
178.992074,16.857902,-52.627432
179.767267,16.424763,-52.139716
180.542460,15.775866,-51.424579
181.317653,15.260533,-50.786374
182.092846,14.755450,-49.991728
182.868039,14.355536,-49.303953
183.643232,13.918198,-48.541993
184.418425,13.642178,-47.996360
185.193618,13.415906,-47.352520
185.968811,13.130036,-46.647229
186.744004,12.713431,-45.947855
187.519197,12.467715,-45.315808
188.294390,12.201081,-44.548920
189.069583,11.912807,-43.955360
189.844776,11.722288,-43.490111
190.619969,11.514276,-42.898190
191.395162,11.327503,-42.284384
192.170355,11.151277,-41.788011
192.945548,10.950970,-41.228485
193.720741,10.762280,-40.688319
194.495934,10.639079,-40.138762
195.271127,10.499472,-39.619880
196.046320,10.381901,-39.101064
196.821513,10.211762,-38.518503
197.596706,10.145747,-37.978620
198.371899,10.147973,-37.436902
199.147092,10.204928,-36.946432
199.922285,10.144914,-36.453139
200.697478,10.127147,-36.019998
201.472671,10.085256,-35.532555
202.247864,10.464894,-37.118996
203.023057,10.476391,-36.647683
203.798250,10.428008,-36.145591
204.573443,10.465866,-35.741534
205.348636,10.418131,-35.297949
206.123829,10.380807,-34.797341
206.899022,10.323126,-34.381468
207.674215,10.223859,-33.920260
208.449408,10.211269,-33.495295
209.224601,10.250477,-33.125784
210.000000,10.250477,-33.125784
